"design","N","rep","K_est","loglik","bic_standard","bic_panel","cf_effect","gamma_weighted","k_selected_bic","k_selected_stable","k_selected_osce","k_selected_consensus"
"Same-Sign",10000,41,1,-21347.5174708871,42805.5590262378,42768.9842646769,6.61617234688928,0.0838906355154189,1,5,3,1
"Same-Sign",10000,41,2,-21443.6111875737,43117.4808844469,43041.2834645283,4.50026769162342,0.0413127558465668,1,5,3,1
"Same-Sign",10000,41,3,-21897.7465339211,44145.4860019773,44029.6659237011,-2.8055720469414,0.027763390041723,1,5,3,1
"Same-Sign",10000,41,4,-21830.8034480272,44131.3342550252,43975.8915183913,4.87697156352183,0.0325096128806181,1,5,3,1
"Same-Sign",10000,41,5,-21492.4857038529,43574.4331915123,43379.3677965207,-2.76250964590619,0.0044165474568758,1,5,3,1
"Same-Sign",10000,42,1,-21376.5009658092,42863.526016082,42826.9512545211,-0.462363357256736,0.102801869012864,1,5,3,1
"Same-Sign",10000,42,2,-21597.1994516244,43424.6574125483,43348.4599926297,18.3359210249424,-0.01286283816117,1,5,3,1
"Same-Sign",10000,42,3,-21620.3993786333,43590.7916914017,43474.9716131255,-5.92907202327589,0.0358637300886097,1,5,3,1
"Same-Sign",10000,42,4,-21275.5355561748,43020.7984713203,42865.3557346864,12.8128017172937,0.000236391572143196,1,5,3,1
"Same-Sign",10000,42,5,-21566.5311261784,43722.5240361632,43527.4586411717,0.475657761618807,0.0263702379488009,1,5,3,1
"Same-Sign",10000,43,1,-21894.3897821575,43899.3036487788,43862.7288872179,2.8945954908568,0.0404391550101974,3,5,4,3
"Same-Sign",10000,43,2,-21789.7269370858,43809.712383471,43733.5149635524,7.2037477110699,0.068132001513793,3,5,4,3
"Same-Sign",10000,43,3,-21478.4427665592,43306.8784672536,43191.0583889773,16.1281243492744,0.0881246991579015,3,5,4,3
"Same-Sign",10000,43,4,-21747.1353256167,43963.9980102042,43808.5552735703,3.98304313033864,-0.0036810287328312,3,5,4,3
"Same-Sign",10000,43,5,-21718.0430529439,44025.5478896943,43830.4824947027,6.21275431737324,0.0152820433180827,3,5,4,3
"Same-Sign",10000,44,1,-21516.675607264,43143.8752989917,43107.3005374308,-1.90887726935457,0.00671934578140135,2,5,2,2
