"gamma_bar","rep","K_est","cf_effect","k_selected_consensus","gamma_weighted","bic_panel"
0.02,17,2,1.11052329947684,1,0.0365324299109282,43944.3038413766
0.02,17,3,-1.85008227967293,1,0.0554631026125997,43292.1001477981
0.02,17,4,13.446183044294,1,-0.000626155790960265,43693.1729140776
0.02,17,5,0.677533358937338,1,0.0295338337375657,43614.0506426007
0.02,18,1,1.47287917709394,1,0.0159684043519597,42742.3106468129
0.02,18,2,3.21957308342671,1,0.0474232633129925,43537.323144208
0.02,18,3,4.5957032646126,1,-0.00485778221026094,43362.0174920524
0.02,18,4,7.13199712498373,1,0.0195594159180596,43627.0091623026
0.02,18,5,8.86479570524694,1,0.0548469944851894,43420.3546191996
0.02,19,1,10.7637262965824,3,0.0318094693733994,43634.3876072406
0.02,19,2,10.7206027760508,3,0.0377336541862874,43573.825411852
0.02,19,3,12.7479856610724,3,0.00832561587872388,43360.6335526227
0.02,19,4,0.716884502820063,3,0.0537399810763315,43351.3013363466
0.02,19,5,3.93123786110328,3,0.0131205640424503,43900.2081677571
0.02,20,1,-2.39289500763611,1,0.115275830035601,42636.6595324531
0.02,20,2,13.0300600242129,1,0.0462947840585521,43811.8392752114
0.02,20,3,9.09490099512404,1,0.0539574193811589,43468.0373506573
0.02,20,4,11.1222418738612,1,0.0552995618717003,42936.1311964244
0.02,20,5,18.6094647012735,1,0.0135298322008906,43596.1391791893
0.02,21,1,0.895319024108988,5,0.040949036669021,43388.6307800022
0.02,21,2,6.08199582150159,5,0.0155513485687992,43290.6718936666
0.02,21,3,-3.26539748165088,5,0.005922152507506,43239.3360499406
0.02,21,4,12.6745640810381,5,0.00916521708482153,43441.5104444102
0.02,21,5,-1.21297132938937,5,0.0268224780615315,43657.7919199749
0.02,22,1,6.5477345821265,1,0.0697119636299563,42717.9395404967
0.02,22,2,10.5197589570964,1,0.0568410167330296,43505.4359561798
0.02,22,3,0.592838990551874,1,0.0468407979380821,43109.6811839183
0.02,22,4,-5.40152616853698,1,-0.00269193878534496,43591.9903762226
0.02,22,5,6.40507706544798,1,0.00415384527770199,43624.6538206683
0.02,23,1,4.4075136436338,5,0.0796501914727488,43327.6497272939
0.02,23,2,15.9815965971983,5,0.0168132187775846,44148.9612572691
0.02,23,3,-4.0316790209241,5,0.0557441535346416,44347.4079219232
0.02,23,4,8.22684856983862,5,0.0282721251118085,44050.1127786693
0.02,23,5,12.7093595613329,5,0.00923184377973691,44173.1957553848
0.02,24,1,5.05915517265834,4,0.0509944327648832,43997.8948388878
0.02,24,2,3.04913169531596,4,0.0361641080756459,43183.1692811225
0.02,24,3,-1.16997176784627,4,0.0460257149717554,43597.6125044431
0.02,24,4,0.621398532585836,4,0.0146699551013023,42835.1825737578
0.02,24,5,0.562238668463614,4,0.0322920515296204,43087.1916460514
0.02,25,1,3.10457867938404,5,0.0331429859948028,43239.5417653751
0.02,25,2,-5.85021401942123,5,0.0218637422416428,42841.8069770277
0.02,25,3,12.0060410437916,5,0.021166494905225,43631.1616745858
0.02,25,4,-5.08890964248046,5,0.0120836205115599,43822.6931863756
