"design","N","rep","K_est","loglik","bic_standard","bic_panel","cf_effect","se_rate_baseline","se_rate_cf","gamma_weighted","k_selected_bic","k_selected_stable","k_selected_osce","k_selected_consensus"
"Cancellation",10000,89,4,-6036.79550526048,12248.5874775885,12190.6774384504,4.92329718032393,0.2916,0.305956334577825,-0.0300761439215395,1,3,5,1
"Cancellation",10000,89,5,-6031.63435325793,12284.3168754433,12211.1673523214,-2.05708259264548,0.2916,0.285601547159846,0.0290470972455426,1,3,5,1
"Cancellation",10000,90,1,-6032.95832118435,12102.7580038566,12090.5664166696,-3.86908124740868,0.2943,0.282913293888876,0.104626849972518,1,5,5,5
"Cancellation",10000,90,2,-6042.48776796523,12167.8685992782,12140.4375281076,-3.12496179517564,0.2943,0.285103237436798,0.0435264398618754,1,5,5,5
"Cancellation",10000,90,3,-6036.96965631307,12202.8840778338,12160.2135226794,1.17815319183909,0.2943,0.297767304843582,0.00259435267171745,1,5,5,5
"Cancellation",10000,90,4,-6037.63456011904,12250.2655873056,12192.3555481675,-0.890322824489271,0.2943,0.291679779927528,0.0398115163435835,1,5,5,5
"Cancellation",10000,90,5,-6056.46521266039,12333.9785942482,12260.8290711264,0.557498548318726,0.2943,0.295940718227702,0.0260998374064372,1,5,5,5
"Cancellation",10000,91,1,-5991.0692152571,12018.9797920021,12006.7882048151,2.6342455442252,0.2882,0.295791895658457,-0.0466559221697878,1,5,4,1
"Cancellation",10000,91,2,-5989.13898598089,12061.1710353096,12033.7399641389,1.21029803145344,0.2882,0.291688078926649,-0.0337788927495574,1,5,4,1
"Cancellation",10000,91,3,-5994.31285199597,12117.5704691996,12074.8999140452,-4.41480174670257,0.2882,0.275476541366003,0.057804024318881,1,5,4,1
"Cancellation",10000,91,4,-6008.87715802859,12192.7507831247,12134.8407439866,-6.80573099593011,0.2882,0.268585883269729,0.0447482128405398,1,5,4,1
"Cancellation",10000,91,5,-5989.83867942258,12200.7255277726,12127.5760046507,-0.598796086613883,0.2882,0.286474269678379,0.00290652314269917,1,5,4,1
"Cancellation",10000,92,1,-5985.19600611493,12007.2333737178,11995.0417865308,3.58791366780418,0.2862,0.296468608917256,-0.0697184997127255,1,3,4,1
"Cancellation",10000,92,2,-5975.65412439646,12034.2013121407,12006.77024097,-0.545142627142647,0.2862,0.284639801801118,0.00582902010090297,1,3,4,1
"Cancellation",10000,92,3,-5979.79531091673,12088.5353870411,12045.8648318867,0.691744433724348,0.2862,0.288179772569319,0.00394116869708249,1,3,4,1
"Cancellation",10000,92,4,-5977.65739454607,12130.3112561597,12072.4012170216,0.419817078741987,0.2862,0.28740151647936,-0.00504928694722396,1,3,4,1
"Cancellation",10000,92,5,-5976.40479162125,12173.8577521699,12100.7082290481,0.00824937225194005,0.2862,0.286223609703385,0.0179308575224639,1,3,4,1
"Cancellation",10000,93,1,-6051.43477138543,12139.7109042588,12127.5193170718,5.59630361058498,0.2929,0.309291573275403,-0.106201362500989,1,5,5,5
"Cancellation",10000,93,2,-6048.03033771217,12178.9537387721,12151.5226676014,-3.03317614101261,0.2929,0.284015827082974,0.0703529545705671,1,5,5,5
"Cancellation",10000,93,3,-6046.13521096725,12221.2151871422,12178.5446319878,-0.967802587883605,0.2929,0.290065306220089,0.0466274866165569,1,5,5,5
"Cancellation",10000,93,4,-6045.7352987471,12266.4670645618,12208.5570254236,2.03045706542692,0.2929,0.298847208744635,-0.00494383927839866,1,5,5,5
"Cancellation",10000,93,5,-6051.16907301903,12323.3863149655,12250.2367918436,-1.51088017210485,0.2929,0.288474631975905,0.0237543267071164,1,5,5,5
"Cancellation",10000,94,1,-6003.77449467289,12044.3903508337,12032.1987636467,4.09938982952905,0.2873,0.299077546980237,-0.0478584193921517,1,4,5,1
"Cancellation",10000,94,2,-5996.10288683436,12075.0988370165,12047.6677658458,-7.21291634813891,0.2873,0.266577291331797,0.1347588641533,1,4,5,1
"Cancellation",10000,94,3,-5997.87309692958,12124.6909590668,12082.0204039124,-1.32091839307532,0.2873,0.283505001456695,0.0480267871741101,1,4,5,1
"Cancellation",10000,94,4,-5984.44689043977,12143.8902479471,12085.980208809,0.115216636027574,0.2873,0.287631017395307,-0.000544108284758866,1,4,5,1
"Cancellation",10000,94,5,-5989.29871888409,12199.6456066956,12126.4960835738,-0.341155002673999,0.2873,0.286319861677318,0.00218684493584799,1,4,5,1
"Cancellation",10000,95,1,-6029.94215577816,12096.7256730442,12084.5340858573,6.10821678220518,0.289,0.306652746500573,-0.112096408365723,2,3,5,2
"Cancellation",10000,95,2,-6009.91245634695,12102.7179760417,12075.286904871,-0.242153437742913,0.289,0.288300176564923,0.00604262673144395,2,3,5,2
"Cancellation",10000,95,3,-6013.29233594998,12155.5294371076,12112.8588819532,-1.52963097136064,0.289,0.284579366492768,0.00436247851944996,2,3,5,2
"Cancellation",10000,95,4,-6004.90393652517,12184.8043401179,12126.8943009797,-2.4579398563858,0.289,0.281896553815045,0.0165706703130077,2,3,5,2
"Cancellation",10000,95,5,-6011.9909788848,12245.030126697,12171.8806035752,0.331704235612936,0.289,0.289958625240921,0.0138331961148764,2,3,5,2
"Cancellation",10000,96,1,-5995.65446756096,12028.1502966098,12015.9587094229,0.404840523015694,0.2889,0.290069584270992,0.0286709066246371,1,5,3,1
"Cancellation",10000,96,2,-5998.4610138377,12079.8150910232,12052.3840198525,-3.76113046664877,0.2889,0.278034094081852,0.0463693400007081,1,5,3,1
"Cancellation",10000,96,3,-6008.1778799552,12145.3005251181,12102.6299699636,-6.13270076151248,0.2889,0.27118262749999,0.0542898076925533,1,5,3,1
"Cancellation",10000,96,4,-5993.34996272677,12161.6963925211,12103.786353383,-0.308702378277627,0.2889,0.288008158829156,0.0174250952558217,1,5,3,1
"Cancellation",10000,96,5,-6002.26879515451,12225.5857592365,12152.4362361146,-0.913524391403618,0.2889,0.286260828033235,-0.00541093657336996,1,5,3,1
"Cancellation",10000,97,1,-6072.97661062383,12182.7945827356,12170.6029955486,6.31002471349339,0.295,0.313614572904805,-0.0826370153370653,2,3,4,2
"Cancellation",10000,97,2,-6054.74407832162,12192.381219991,12164.9501488203,1.8157065177702,0.295,0.300356334227422,0.0224037709681224,2,3,4,2
"Cancellation",10000,97,3,-6059.85655051323,12248.6578662341,12205.9873110797,0.963090347835355,0.295,0.297841116526114,0.00208804034912414,2,3,4,2
"Cancellation",10000,97,4,-6060.1424859599,12295.2814389873,12237.3713998492,-2.95150541747614,0.295,0.286293059018445,0.0365501260151447,2,3,4,2
"Cancellation",10000,97,5,-6051.9063370195,12324.8608429664,12251.7113198446,0.105861540246939,0.295,0.295312291543728,0.00588300348315532,2,3,4,2
"Cancellation",10000,98,1,-5989.04184430961,12014.9250501071,12002.7334629201,-3.00402845696852,0.2871,0.278475434300043,0.0579442394644793,1,5,5,5
"Cancellation",10000,98,2,-5998.37994048712,12079.652944322,12052.2218731513,3.49995126125704,0.2871,0.297148360071069,-0.0382137065809647,1,5,5,5
"Cancellation",10000,98,3,-5995.71345246103,12120.3716701297,12077.7011149753,-5.48062995540747,0.2871,0.271365111398025,0.0318790759682709,1,5,5,5
"Cancellation",10000,98,4,-5990.4462976858,12155.8890624392,12097.979023301,-2.27572542357515,0.2871,0.280566392308916,0.0261344833966982,1,5,5,5
"Cancellation",10000,98,5,-5992.55511163033,12206.1583921881,12133.0088690662,-1.68310612720673,0.2871,0.28226780230879,0.0319326216933433,1,5,5,5
"Cancellation",10000,99,1,-6011.49079111898,12059.8229437259,12047.6313565389,6.23507025543749,0.287,0.304894651633106,-0.0915486465824568,2,5,5,5
"Cancellation",10000,99,2,-5994.45859277061,12071.810248889,12044.3791777183,0.673677330938577,0.287,0.288933453939794,0.0145965611238803,2,5,5,5
"Cancellation",10000,99,3,-5983.97029913438,12096.8853634764,12054.214808322,-2.89262405473907,0.287,0.278698168962899,0.0874935926460391,2,5,5,5
"Cancellation",10000,99,4,-5985.70479804998,12146.4060631675,12088.4960240294,0.396928494760975,0.287,0.288139184779964,0.0211261727586829,2,5,5,5
"Cancellation",10000,99,5,-5990.73259449575,12202.5133579189,12129.3638347971,0.0995512436604334,0.287,0.287285712069305,0.0200488087365665,2,5,5,5
"Cancellation",10000,100,1,-5971.94504899404,11980.731459476,11968.539872289,3.79869823525442,0.2839,0.294684504289887,-0.0369064500622766,1,3,5,1
"Cancellation",10000,100,2,-5957.92991450451,11998.7528923568,11971.3218211861,-0.181526716820625,0.2839,0.283384645650946,0.0183135842094151,1,3,5,1
"Cancellation",10000,100,3,-5969.88720449774,12068.7191742032,12026.0486190487,0.194981147381837,0.2839,0.284453551477417,0.020815028369856,1,3,5,1
"Cancellation",10000,100,4,-5957.50400784865,12090.0044827648,12032.0944436267,-0.417522422923131,0.2839,0.282714653841321,0.0148637449774658,1,3,5,1
"Cancellation",10000,100,5,-5955.4587460867,12131.9656611008,12058.816137979,-0.861129308606305,0.2839,0.281455253892867,0.016718715713894,1,3,5,1
"Same-Sign",10000,1,1,-6072.65077889272,12182.1429192734,12169.9513320864,4.41593232861015,0.2967,0.309802071218986,-0.0769139378354338,1,4,5,1
"Same-Sign",10000,1,2,-6075.17036858767,12233.2338005231,12205.8027293524,-7.24241025712121,0.2967,0.275211768767121,0.0899134674579868,1,4,5,1
"Same-Sign",10000,1,3,-6073.80959312089,12276.5639514495,12233.893396295,-1.83635116946479,0.2967,0.291251546080198,0.0402736659623333,1,4,5,1
"Same-Sign",10000,1,4,-6066.84739286431,12308.6912527962,12250.781213658,-2.90411783659384,0.2967,0.288083482378826,0.0308098893216153,1,4,5,1
"Same-Sign",10000,1,5,-6070.16254809751,12361.3732651224,12288.2237420006,0.0314551621660442,0.2967,0.296793327466147,0.0137377706047779,1,4,5,1
"Same-Sign",10000,2,1,-5965.3454807529,11967.5323229937,11955.3407358067,-4.46123444521574,0.2859,0.273145330721128,0.145815060667796,1,3,4,1
"Same-Sign",10000,2,2,-5968.58838512992,12020.0698336076,11992.6387624369,-1.5587553143491,0.2859,0.281443518556276,0.0824139672166857,1,3,4,1
"Same-Sign",10000,2,3,-5973.24341977869,12075.431604765,12032.7610496106,-0.67003626371204,0.2859,0.283984366322047,0.0380732225221804,1,3,4,1
"Same-Sign",10000,2,4,-5987.51666147586,12150.0297900193,12092.1197508811,-0.617967581895241,0.2859,0.284133230683361,0.0293447088411674,1,3,4,1
"Same-Sign",10000,2,5,-5984.36898714441,12189.7861432163,12116.6366200944,-2.82548768092218,0.2859,0.277821930720243,0.0228441704436001,1,3,4,1
"Same-Sign",10000,3,1,-6083.47467585869,12203.7907132053,12191.5991260183,-3.13749151528386,0.2987,0.289328312843847,0.137406095024053,1,4,5,1
"Same-Sign",10000,3,2,-6090.23378221507,12263.3606277779,12235.9295566072,-9.95633638226641,0.2987,0.26896042322617,0.151740370936895,1,4,5,1
"Same-Sign",10000,3,3,-6088.4299751097,12305.8047154271,12263.1341602727,-2.87646128096769,0.2987,0.29010801015375,0.0780782709028481,1,4,5,1
"Same-Sign",10000,3,4,-6082.99712658136,12340.9907202303,12283.0806810921,-3.05750760406128,0.2987,0.289567224786669,0.0874235484587926,1,4,5,1
"Same-Sign",10000,3,5,-6096.87554034489,12414.7992496172,12341.6497264954,-1.97318697895274,0.2987,0.292806090493868,0.0375461026253392,1,4,5,1
"Same-Sign",10000,4,1,-6049.88086773454,12136.603096957,12124.41150977,-2.1552384499832,0.2951,0.2887398913341,0.0702166143414412,1,4,3,1
"Same-Sign",10000,4,2,-6071.52656254584,12225.9461884395,12198.5151172688,6.18372237953416,0.2951,0.313348164742005,-0.0438041629450095,1,4,3,1
"Same-Sign",10000,4,3,-6051.07246308504,12231.0896913777,12188.4191362233,-4.41559504000968,0.2951,0.282069579036931,0.0429208931687064,1,4,3,1
"Same-Sign",10000,4,4,-6054.04774823389,12283.0919635353,12225.1819243972,-3.42333774565729,0.2951,0.284997730312565,0.0656862211695252,1,4,3,1
"Same-Sign",10000,4,5,-6059.12458710714,12339.2973431417,12266.1478200199,0.0354831279839489,0.2951,0.295204710710681,0.000479832669308287,1,4,3,1
"Same-Sign",10000,5,1,-6053.72426387624,12144.2898892404,12132.0983020534,-0.185252339941296,0.2964,0.295850912064414,0.0511212114924768,1,5,5,5
"Same-Sign",10000,5,2,-6060.7595301571,12204.412123662,12176.9810524913,0.30566823003275,0.2964,0.297306000633817,0.00784020401759192,1,5,5,5
"Same-Sign",10000,5,3,-6091.01642719984,12310.9776196074,12268.3070644529,6.02634360693337,0.2964,0.31426208245095,-0.0234887403594677,1,5,5,5
"Same-Sign",10000,5,4,-6062.64085719925,12300.278181466,12242.3681423279,0.136527669901359,0.2964,0.296804668013588,0.026061543026232,1,5,5,5
"Same-Sign",10000,5,5,-6064.69071176829,12350.429592464,12277.2800693422,-3.95167791811662,0.2964,0.284687226650702,0.043796908544771,1,5,5,5
"Same-Sign",10000,6,1,-5979.77504294872,11996.3914473853,11984.1998601984,-3.60549055830952,0.2866,0.276266664059885,0.132365266031515,1,3,5,1
"Same-Sign",10000,6,2,-5983.06425167988,12049.0215667075,12021.5904955368,-0.447867838370632,0.2866,0.28531641077523,0.0372906856794349,1,3,5,1
"Same-Sign",10000,6,3,-5988.47070246261,12105.8861701329,12063.2156149785,0.0251810422154444,0.2866,0.286672168866989,0.0202956122444041,1,3,5,1
"Same-Sign",10000,6,4,-5985.70793230825,12146.412331684,12088.5022925459,-1.53088660480023,0.2866,0.282212478990643,0.0214058461206325,1,3,5,1
"Same-Sign",10000,6,5,-5985.51563350612,12192.0794359397,12118.9299128178,-2.91319383297619,0.2866,0.27825078647469,0.0470657052270167,1,3,5,1
"Same-Sign",10000,7,1,-5983.73602273656,12004.313406961,11992.1218197741,-2.40360916658162,0.2869,0.280004045301077,0.102032587772757,1,5,4,1
"Same-Sign",10000,7,2,-5985.93289656695,12054.7588564817,12027.327785311,-2.61091022280952,0.2869,0.279409298570759,0.0620898613335735,1,5,4,1
"Same-Sign",10000,7,3,-5991.42128392237,12111.7873330524,12069.116777898,-4.68580864158792,0.2869,0.273456415007284,0.0919493117442505,1,5,4,1
"Same-Sign",10000,7,4,-5987.529612442,12150.0556919515,12092.1456528134,-7.13774377829411,0.2869,0.266421813100074,0.0729747651507674,1,5,4,1
"Same-Sign",10000,7,5,-5985.94218732859,12192.9325435846,12119.7830204628,-4.69180506103171,0.2869,0.2734392112799,0.0122717758711942,1,5,4,1
"Same-Sign",10000,8,1,-6029.38829314536,12095.6179477786,12083.4263605917,-3.48412552633352,0.2923,0.282115901086527,0.110099485278316,1,5,4,1
"Same-Sign",10000,8,2,-6042.35279097304,12167.5986452939,12140.1675741232,1.37095602934506,0.2923,0.296307304473776,0.0374611983352515,1,5,4,1
"Same-Sign",10000,8,3,-6042.15108816312,12213.2469415339,12170.5763863795,-1.32645008702558,0.2923,0.288422786395624,0.0205680663318823,1,5,4,1
"Same-Sign",10000,8,4,-6035.87934542254,12246.7551579126,12188.8451187745,0.966901967008561,0.2923,0.295126254449566,0.0113955318801569,1,5,4,1
"Same-Sign",10000,8,5,-6035.63062054507,12292.3094100176,12219.1598868957,0.0670530854122499,0.2923,0.29249599616866,0.0187439793577951,1,5,4,1
"Same-Sign",10000,9,1,-6086.25935623367,12209.3600739553,12197.1684867683,0.436109631101409,0.2992,0.300504840016255,0.0379190661987836,1,4,5,1
"Same-Sign",10000,9,2,-6092.34673941412,12267.586542176,12240.1554710053,-2.27336315966097,0.2992,0.292398097426294,0.0558474799910097,1,4,5,1
"Same-Sign",10000,9,3,-6099.08997958926,12327.1247243862,12284.4541692318,1.37444105934911,0.2992,0.303312327649573,0.0128376319205631,1,4,5,1
"Same-Sign",10000,9,4,-6096.10267606239,12367.2018191923,12309.2917800542,0.108377489311535,0.2992,0.29952426544802,0.00950024077319134,1,4,5,1
"Same-Sign",10000,9,5,-6088.3940908829,12397.8363506932,12324.6868275714,-0.384789305363064,0.2992,0.298048710398354,0.0294497845941255,1,4,5,1
"Same-Sign",10000,10,1,-6046.20901420433,12129.2593898966,12117.0678027096,0.256740930387463,0.2937,0.294454048112548,0.0515666397285817,1,3,4,1
"Same-Sign",10000,10,2,-6041.53362577921,12165.9603149062,12138.5292437355,2.79103028511534,0.2937,0.301897255947384,0.0123801600504588,1,3,4,1
