"N","rep","K_est","loglik","bic","n_params","cf_effect_pp","cf_effect_pct","purchase_base","purchase_cf","gamma_weighted","converged","k_selected_bic","k_selected_stable","k_selected_osce","k_selected_consensus"
10000,78,1,-627268216055.148,1254536432147.14,4,0,0,1,1,21146943.673628,FALSE,2,3,5,2
10000,78,2,-6853.14207276458,13789.1772088769,9,0,0,0.4375,0.4375,-11414378.7414364,TRUE,2,3,5,2
10000,78,3,-6853.14207276458,13835.2289107368,14,0,0,0.4375,0.4375,-6365080.52976252,TRUE,2,3,5,2
10000,78,4,-6852.40812248498,13879.8127120375,19,0.948014387341417,2.21488413159282,0.4375,0.428019856126586,-11384121.3661626,TRUE,2,3,5,2
10000,78,5,-6853.14207276458,13927.3323144566,24,0,0,0.4375,0.4375,1047010.42190165,TRUE,2,3,5,2
10000,79,1,-35538906877.2213,71077813791.284,4,1.19,3.93258426966293,0.3145,0.3026,829126.309146844,FALSE,2,3,5,2
10000,79,2,-6871.06989427383,13825.0328518955,9,0,0,0.4451,0.4451,-6911998.06492552,TRUE,2,3,5,2
10000,79,3,-6871.06989427383,13871.0845537553,14,0,0,0.4451,0.4451,-276781.204282889,TRUE,2,3,5,2
10000,79,4,-6871.06989427383,13917.1362556152,19,0,0,0.4451,0.4451,9066076.93885928,TRUE,2,3,5,2
10000,79,5,-6871.06989427383,13963.1879574751,24,0,0,0.4451,0.4451,1405576.29088066,TRUE,2,3,5,2
10000,80,1,-381286183775.046,762572367586.933,4,1.56999999999999,1.62441800310398,0.9822,0.9665,7598283.72560192,FALSE,2,3,4,2
10000,80,2,-6860.97619486605,13804.8454530799,9,0,0,0.4407,0.4407,-6610309.90175222,TRUE,2,3,4,2
10000,80,3,-6860.97619486605,13850.8971549398,14,0,0,0.4407,0.4407,352412.832994191,TRUE,2,3,4,2
10000,80,4,-6860.97619486605,13896.9488567996,19,0,0,0.4407,0.4407,-1400504.6902436,TRUE,2,3,4,2
10000,80,5,-6878.77702080565,13978.6022105387,24,-0.0357739927163314,-0.0811095452541864,0.4407,0.441057739927163,-1202913.02436873,TRUE,2,3,4,2
10000,81,1,-233392556299.604,466785112636.05,4,0.3,0.303336703741153,0.992,0.989,2248688.54501109,FALSE,2,3,5,2
10000,81,2,-6846.47049046645,13775.8340442807,9,0,0,0.4349,0.4349,4799339.21675734,TRUE,2,3,5,2
10000,81,3,-6846.47049046645,13821.8857461406,14,0,0,0.4349,0.4349,-5064475.94562628,TRUE,2,3,5,2
10000,81,4,-6846.47049046645,13867.9374480005,19,0,0,0.4349,0.4349,387394.214526927,TRUE,2,3,5,2
10000,81,5,-6846.47049046645,13913.9891498603,24,0,0,0.4349,0.4349,-9570723.59240896,TRUE,2,3,5,2
10000,82,1,-53048032374.3258,106096064785.493,4,0,NA,0,0,-47846080.2777529,FALSE,2,3,5,2
10000,82,2,-6863.10466077873,13809.1023849052,9,0,0,0.4416,0.4416,-3425193.52487228,TRUE,2,3,5,2
10000,82,3,-6863.10466077873,13855.1540867651,14,0,0,0.4416,0.4416,-23527366.9088727,TRUE,2,3,5,2
10000,82,4,-6863.10466077873,13901.205788625,19,0,0,0.4416,0.4416,1038716.63582809,TRUE,2,3,5,2
10000,82,5,-6863.10466077873,13947.2574904849,24,0,0,0.4416,0.4416,-1351482.33151172,TRUE,2,3,5,2
