cbsa,year,peducgrp,praceeth3,age_cat,prob_se,prob_mobile,n
10900,2015,4,6,18-29,0,1,1
10900,2015,1,2,30-44,0,0,1
10900,2015,1,6,30-44,0,0,1
10900,2015,2,2,30-44,0,1,1
10900,2015,3,6,30-44,0,0,1
10900,2015,4,3,30-44,0,0,1
10900,2015,4,6,30-44,0,.36049661,5
10900,2015,2,6,45-64,0,0,5
10900,2015,3,6,45-64,0,.37104487,6
10900,2015,4,2,45-64,0,1,1
10900,2015,4,6,45-64,0,.29199809,3
10900,2017,3,6,18-29,0,1,1
10900,2017,4,6,18-29,0,.46708128,2
10900,2017,2,2,30-44,0,0,1
10900,2017,2,6,30-44,0,.49249223,2
10900,2017,3,2,30-44,0,1,1
10900,2017,4,6,30-44,0,1,5
10900,2017,2,6,45-64,.27164292,.30272731,4
10900,2017,3,6,45-64,0,.5204972,2
10900,2017,4,6,45-64,.11961521,.35847813,8
10900,2019,2,6,18-29,0,,1
10900,2019,3,6,18-29,0,,2
10900,2019,4,6,18-29,0,,1
10900,2019,2,1,30-44,0,,1
10900,2019,2,6,30-44,0,,2
10900,2019,2,7,30-44,0,,1
10900,2019,3,2,30-44,1,,1
10900,2019,3,6,30-44,0,,3
10900,2019,4,6,30-44,0,,3
10900,2019,2,2,45-64,0,,1
10900,2019,2,6,45-64,0,,3
10900,2019,3,6,45-64,0,,2
10900,2019,4,2,45-64,0,,1
10900,2019,4,6,45-64,0,,2
10900,2021,2,2,18-29,0,,1
10900,2021,2,6,18-29,0,,1
10900,2021,3,2,18-29,0,,2
10900,2021,2,2,30-44,0,,1
10900,2021,2,6,30-44,0,,1
10900,2021,3,6,30-44,.24477226,,4
10900,2021,4,6,30-44,0,,3
10900,2021,1,2,45-64,0,,1
10900,2021,2,6,45-64,0,,1
10900,2021,3,6,45-64,0,,2
10900,2021,4,2,45-64,0,,1
10900,2021,4,3,45-64,0,,1
10900,2021,4,6,45-64,0,,2
10900,2023,2,2,18-29,0,,1
10900,2023,2,6,18-29,0,,1
10900,2023,4,2,18-29,0,,1
10900,2023,2,2,30-44,,,0
10900,2023,2,6,30-44,0,,1
10900,2023,3,6,30-44,0,,2
10900,2023,4,1,30-44,0,,1
10900,2023,4,6,30-44,0,,7
10900,2023,1,6,45-64,0,,1
10900,2023,2,6,45-64,0,,6
10900,2023,3,6,45-64,0,,3
10900,2023,4,6,45-64,.32903054,,5
11020,2013,3,6,18-29,0,1,1
11020,2013,2,6,30-44,0,.15949005,6
11020,2013,3,6,30-44,0,0,2
11020,2013,4,6,30-44,0,1,1
11020,2013,2,1,45-64,0,0,1
11020,2013,2,6,45-64,.16210963,0,7
11020,2013,3,6,45-64,0,1,1
11020,2013,4,1,45-64,0,0,1
11020,2013,4,6,45-64,0,0,2
11100,2013,1,2,18-29,0,0,1
11100,2013,2,1,18-29,0,,1
11100,2013,2,2,18-29,0,0,1
11100,2013,2,6,18-29,0,1,1
11100,2013,3,1,18-29,0,,1
11100,2013,3,2,18-29,0,1,3
11100,2013,3,6,18-29,0,.52176011,2
11100,2013,2,6,30-44,0,0,1
11100,2013,3,2,30-44,0,,1
11100,2013,3,6,30-44,0,.58282906,3
11100,2013,4,6,30-44,0,1,1
11100,2013,1,6,45-64,0,,1
11100,2013,3,6,45-64,0,1,1
11100,2015,2,2,18-29,1,0,1
11100,2015,2,6,18-29,0,.49597073,2
11100,2015,2,7,18-29,0,0,1
11100,2015,3,2,18-29,0,1,1
11100,2015,3,6,18-29,0,0,1
11100,2015,4,6,18-29,0,1,1
