cbsa,year,hsupwgtk,age,metro,pct_broadband,female,married,se,branch,educ_cat,inc_quint,race_black,race_hispanic
23420,2015,0,55,1,87.699997,0,1,0,0,1,4,0,1
41740,2023,4.3855495,50,1,94.300003,0,1,0,1,2,4,0,0
31080,2013,4.4691339,30,1,92.400002,1,0,0,1,2,4,0,1
33860,2019,0,25,1,88.900002,0,0,0,0,3,4,0,0
42020,2023,5.6910305,62,1,92.599998,0,1,0,1,4,5,0,0
34980,2015,0,64,1,91.599998,0,1,0,0,4,4,0,0
34980,2017,2.9764473,36,1,91.599998,1,0,0,0,3,5,0,0
46060,2015,4.0136118,34,1,91.099998,1,0,0,1,3,2,0,0
39140,2015,4.1709595,46,1,,0,1,0,1,4,4,0,1
39140,2015,4.3548894,64,1,,0,0,0,1,2,1,0,0
38060,2015,4.6988497,43,1,92.199997,0,0,0,1,2,5,0,0
49740,2015,4.7161412,36,1,86.699997,1,0,0,1,2,3,0,0
49740,2015,4.4944286,47,1,86.699997,1,0,0,1,1,3,0,1
38060,2015,0,46,1,92.199997,0,1,0,0,3,5,0,0
49740,2015,3.5684035,24,1,86.699997,0,1,1,1,1,2,0,1
39140,2015,4.0966444,48,1,,1,1,0,1,4,1,0,0
46060,2015,3.9753642,40,1,91.099998,1,1,1,1,3,4,0,0
38060,2015,0,58,1,92.199997,0,1,0,0,3,5,0,0
46060,2015,3.7869668,52,1,91.099998,0,1,0,1,4,5,0,0
49740,2015,5.4375052,21,1,86.699997,1,0,0,0,3,3,0,1
49740,2017,5.8369427,61,1,86.699997,0,1,0,1,3,5,0,0
41740,2015,4.4029388,49,1,94.300003,0,1,0,1,4,5,0,0
38060,2015,0,29,1,92.199997,0,1,0,0,4,5,0,0
46060,2015,3.2115324,26,1,91.099998,1,1,0,0,3,1,0,1
38060,2015,5.0734324,49,1,92.199997,1,0,0,0,3,4,0,0
38060,2015,0,45,1,92.199997,0,1,1,0,3,5,0,0
38060,2015,0,50,1,92.199997,0,0,0,0,4,5,0,0
49740,2019,2.6849191,37,1,86.699997,1,1,0,1,3,3,0,0
38060,2015,4.0775394,32,1,92.199997,0,1,0,1,3,4,0,0
38060,2015,0,18,1,92.199997,1,0,0,0,2,3,0,0
38060,2017,4.8219271,48,1,92.199997,1,0,0,1,4,5,0,0
38060,2021,8.1407108,54,1,92.199997,0,0,0,1,2,3,0,0
46060,2019,0,33,1,91.099998,1,1,0,0,4,3,0,0
38060,2015,4.3048353,50,1,92.199997,0,1,0,1,3,3,0,0
38060,2019,7.3617663,45,1,92.199997,0,0,0,1,3,4,0,0
38060,2015,0,26,1,92.199997,0,1,0,0,4,1,0,1
46060,2019,6.0959897,25,1,91.099998,1,0,0,1,4,4,0,1
38060,2017,3.6234846,30,1,92.199997,1,0,0,1,3,4,0,1
38060,2015,4.0724597,32,1,92.199997,0,0,0,1,4,3,0,0
38060,2019,5.7455277,54,1,92.199997,0,1,0,1,3,5,0,1
39140,2017,3.5338616,34,1,,1,0,0,1,2,2,0,0
38060,2017,5.1618042,18,1,92.199997,0,0,0,1,3,2,0,0
38060,2019,0,52,1,92.199997,0,1,0,0,3,5,0,0
38060,2017,4.2309175,23,1,92.199997,1,1,1,0,2,2,0,0
39140,2021,4.5760331,22,1,,0,0,0,1,3,4,0,0
38060,2015,0,30,1,92.199997,0,0,0,0,3,1,0,0
46060,2021,5.8031707,37,1,91.099998,1,0,0,1,3,5,0,0
39140,2019,3.6717315,37,1,,1,0,1,1,4,5,0,0
39140,2019,0,23,1,,0,0,0,0,2,3,1,0
46060,2015,0,53,1,91.099998,1,1,0,0,3,5,0,0
46060,2019,0,53,1,91.099998,1,0,0,0,2,2,0,0
46060,2019,3.9277487,35,1,91.099998,0,1,0,1,4,5,0,1
46060,2017,4.0347052,56,1,91.099998,1,1,0,1,3,5,0,0
46060,2021,6.712923,36,1,91.099998,0,1,0,0,3,5,0,1
46060,2017,0,54,1,91.099998,0,1,0,0,3,4,0,0
46060,2015,0,49,1,91.099998,1,0,0,0,3,3,0,0
46060,2019,3.8168259,39,1,91.099998,1,0,0,1,3,2,0,0
46060,2017,0,42,1,91.099998,0,0,0,0,4,3,0,0
46060,2023,6.5792027,27,1,91.099998,1,0,0,0,4,4,0,0
46060,2019,3.987649,44,1,91.099998,0,1,0,1,3,5,0,0
46060,2021,5.8950257,30,1,91.099998,1,0,0,1,2,3,0,0
38060,2017,0,33,1,92.199997,0,1,0,0,4,5,0,1
46060,2017,3.501379,38,1,91.099998,0,1,0,1,4,5,0,0
49740,2015,0,19,1,86.699997,0,0,0,0,3,4,0,1
38060,2015,3.9963925,29,1,92.199997,1,1,0,1,3,2,0,0
46060,2017,4.4033761,27,1,91.099998,1,1,0,1,1,4,0,0
46060,2017,0,37,1,91.099998,0,0,0,0,3,1,0,0
26420,2023,7.2150555,47,1,91.800003,0,1,0,1,4,5,0,1
32820,2019,7.9062772,20,1,87.300003,1,0,0,1,2,2,0,0
32820,2021,10.735126,26,1,87.300003,0,0,0,1,4,4,1,0
32820,2017,4.2126942,51,1,87.300003,1,0,0,0,2,1,1,0
38060,2017,5.0902381,54,1,92.199997,0,1,0,0,3,5,0,0
38060,2017,5.0902381,55,1,92.199997,1,0,0,0,4,5,0,0
38060,2023,6.197145,58,1,92.199997,1,1,0,1,2,5,0,0
38060,2019,6.6774945,55,1,92.199997,1,1,0,1,3,5,0,0
38060,2017,4.1522179,37,1,92.199997,1,1,0,1,4,5,0,0
38060,2017,5.220089,41,1,92.199997,0,0,0,1,4,5,0,0
38060,2019,3.63148,37,1,92.199997,0,1,0,1,4,5,0,0
38060,2021,8.7409983,49,1,92.199997,0,1,0,1,4,5,0,0
38060,2021,5.7275987,31,1,92.199997,0,0,0,1,2,2,0,0
38060,2021,8.415391,24,1,92.199997,1,0,0,1,3,2,0,0
38060,2017,4.5583887,60,1,92.199997,1,1,0,1,4,4,0,0
38060,2019,0,47,1,92.199997,1,0,0,0,3,4,0,0
38060,2017,4.6832533,64,1,92.199997,0,0,0,1,4,4,0,0
12420,2017,5.0524545,51,1,93.5,0,0,0,1,1,2,0,0
38060,2015,0,34,1,92.199997,1,1,0,0,3,5,0,0
38060,2015,0,59,1,92.199997,0,1,0,0,1,3,0,1
38060,2021,8.8174257,42,1,92.199997,1,1,0,1,4,5,0,0
38060,2019,4.684207,39,1,92.199997,0,1,0,1,3,5,0,0
38060,2017,0,57,1,92.199997,0,1,0,0,4,5,0,0
38060,2017,4.3364558,53,1,92.199997,0,0,0,1,3,5,0,0
